customer_id,phone,country_code,country,state
CUST000000000001,917280033536.0,IN,India,MH
CUST000000000002,619489725433.0,AU,Australia,VIC
CUST000000000003,919390066524.0,IN,India,TN
CUST000000000004,917073741793.0,IN,India,TN
CUST000000000005,618478772532.0,AU,Australia,WA
CUST000000000006,916441718520.0,IN,India,GJ
CUST000000000007,,IN,India,MH
CUST000000000008,446806361276.0,GB,United Kingdom,ENG
CUST000000000009,18191801729.0,US,United States,MA
CUST000000000010,,IN,India,RJ
CUST000000000011,919272150973.0,IN,India,KA
CUST000000000012,9719530879018.0,AE,United Arab Emirates,AUH
CUST000000000013,449218206661.0,GB,United Kingdom,WLS
CUST000000000014,917998335719.0,IN,India,MH
CUST000000000015,918042420680.0,IN,India,TS
CUST000000000016,446722643507.0,GB,United Kingdom,NIR
CUST000000000017,918538249108.0,IN,India,DL
CUST000000000018,919619808342.0,IN,India,KA
CUST000000000019,916178898773.0,IN,India,WB
CUST000000000020,18245379571.0,US,United States,FL
CUST000000000021,916675384617.0,IN,India,RJ
CUST000000000022,918643288338.0,IN,India,WB
CUST000000000023,916029785590.0,IN,India,KA
CUST000000000024,17198215409.0,US,United States,WA
CUST000000000025,918026502205.0,IN,India,TN
CUST000000000026,,IN,India,WB
CUST000000000027,919085054273.0,IN,India,DL
CUST000000000028,449194176131.0,GB,United Kingdom,ENG
CUST000000000029,18961599910.0,US,United States,MA
CUST000000000030,917258744528.0,IN,India,TN
CUST000000000031,917466704221.0,IN,India,TN
CUST000000000032,,US,United States,NJ
CUST000000000033,17681648241.0,US,United States,CA
CUST000000000034,919387268637.0,IN,India,MH
CUST000000000035,919376674065.0,IN,India,KA
CUST000000000036,448804583293.0,GB,United Kingdom,WLS
CUST000000000037,918258256789.0,IN,India,MH
CUST000000000038,447455207600.0,GB,United Kingdom,SCT
CUST000000000039,9717382392525.0,AE,United Arab Emirates,SHJ
CUST000000000040,918891659150.0,IN,India,KL
CUST000000000041,658803422318.0,SG,Singapore,SG
CUST000000000042,918042789150.0,IN,India,TN
CUST000000000043,19303945123.0,US,United States,FL
CUST000000000044,449582907889.0,GB,United Kingdom,SCT
CUST000000000045,917573667444.0,IN,India,WB
CUST000000000046,619508159227.0,AU,Australia,VIC
CUST000000000047,618042082481.0,AU,Australia,VIC
CUST000000000048,918128353105.0,IN,India,TS
CUST000000000049,656125865723.0,SG,Singapore,SG
CUST000000000050,657530892458.0,SG,Singapore,SG
CUST000000000051,917267060871.0,IN,India,KL
CUST000000000052,616827436286.0,AU,Australia,VIC
CUST000000000053,918833591132.0,IN,India,WB
CUST000000000054,918912393998.0,IN,India,TN
CUST000000000055,9716460648193.0,AE,United Arab Emirates,SHJ
CUST000000000056,916981131950.0,IN,India,WB
CUST000000000057,919361192016.0,IN,India,RJ
CUST000000000058,17973720827.0,CA,Canada,BC
CUST000000000059,617487352316.0,AU,Australia,NSW
CUST000000000060,9718840668232.0,AE,United Arab Emirates,DU
CUST000000000061,618862349111.0,AU,Australia,WA
CUST000000000062,659934438207.0,SG,Singapore,SG
CUST000000000063,919200978427.0,IN,India,DL
CUST000000000064,17942480181.0,US,United States,WA
CUST000000000065,919366358507.0,IN,India,MH
CUST000000000066,918750608171.0,IN,India,KA
CUST000000000067,19984489004.0,CA,Canada,AB
CUST000000000068,916932010255.0,IN,India,TS
CUST000000000069,919594756827.0,IN,India,GJ
CUST000000000070,,IN,India,TS
CUST000000000071,917460650037.0,IN,India,RJ
CUST000000000072,917955574825.0,IN,India,WB
CUST000000000073,916878713505.0,IN,India,RJ
CUST000000000074,919869656669.0,IN,India,KA
CUST000000000075,919609908502.0,IN,India,UP
CUST000000000076,9718728482248.0,AE,United Arab Emirates,DU
CUST000000000077,919379858538.0,IN,India,GJ
CUST000000000078,918205334325.0,IN,India,RJ
CUST000000000079,919479143528.0,IN,India,TN
CUST000000000080,448015927321.0,GB,United Kingdom,ENG
CUST000000000081,,AU,Australia,VIC
CUST000000000082,917869407841.0,IN,India,WB
CUST000000000083,916761382493.0,IN,India,WB
CUST000000000084,18928750534.0,CA,Canada,BC
CUST000000000085,918012757591.0,IN,India,DL
CUST000000000086,918059951967.0,IN,India,WB
CUST000000000087,19537600458.0,US,United States,MA
CUST000000000088,916543392459.0,IN,India,UP
CUST000000000089,617246030998.0,AU,Australia,VIC
CUST000000000090,658451290520.0,SG,Singapore,SG
CUST000000000091,918627511085.0,IN,India,GJ
CUST000000000092,18374689222.0,CA,Canada,AB
CUST000000000093,9717639144906.0,AE,United Arab Emirates,DU
CUST000000000094,18495994407.0,US,United States,NJ
CUST000000000095,9718730015355.0,AE,United Arab Emirates,AUH
CUST000000000096,918411410794.0,IN,India,MH
CUST000000000097,918549071749.0,IN,India,UP
CUST000000000098,916178033572.0,IN,India,GJ
CUST000000000099,18295093222.0,CA,Canada,QC
